,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
13,23.0,0.754744,0.5,0.312597,12.956118,3.395504,6.19321991,90.0,116.76664345,90.0,243.2614271639935,12.0,5.699883233938506,0.0,2.922792924491309,6.696835839483075,4.349573737410283,2.9809367095794204,4.555898013951848,2.443901899924513,2.4312690473854834,4.9071850404549,4.828742391543666,2.709176624022648,2.5735233636714208,4.890835092933929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,23.0,0.745256,0.0,0.687403,12.956118,3.395504,6.19321991,90.0,116.76664345,90.0,243.2614271639935,12.0,6.696835839483076,2.922792924491309,0.0,5.699883233938504,2.9809367095794213,4.349573737410283,4.907185040454902,2.431269047385484,2.4439018999245126,4.555898013951848,4.890835092933931,2.5735233636714216,2.709176624022647,4.828742391543665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,23.0,0.25474399999999997,0.0,0.312597,12.956118,3.395504,6.19321991,90.0,116.76664345,90.0,243.2614271639935,12.0,2.922792924491309,6.696835839483075,5.699883233938504,0.0,2.9809367095794204,4.349573737410283,2.4312690473854843,4.907185040454901,4.555898013951848,2.4439018999245126,2.5735233636714216,4.890835092933931,4.828742391543666,2.7091766240226476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,28.0,0.0,0.0,0.0,12.956118,3.395504,6.19321991,90.0,116.76664345,90.0,243.2614271639935,12.0,4.349573737410283,4.349573737410283,2.9809367095794213,2.9809367095794204,0.0,6.696835839483076,2.4717976119620633,2.4717976119620633,5.003598617690971,5.00359861769097,2.5269866517851205,2.5269866517851205,4.611981424806965,4.611981424806965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,28.0,0.5,0.5,0.0,12.956118,3.395504,6.19321991,90.0,116.76664345,90.0,243.2614271639935,12.0,2.9809367095794204,2.9809367095794204,4.349573737410283,4.349573737410283,6.696835839483076,0.0,5.00359861769097,5.003598617690971,2.4717976119620633,2.4717976119620633,4.611981424806965,4.611981424806965,2.526986651785121,2.5269866517851205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,34.0,0.104846,0.0,0.446545,12.956118,3.395504,6.19321991,90.0,116.76664345,90.0,243.2614271639935,12.0,2.4439018999245126,4.555898013951848,4.907185040454902,2.4312690473854843,2.4717976119620633,5.00359861769097,0.0,3.0723948518087316,6.696835839483075,3.9018883729551086,3.547385045060295,3.508937835809566,5.387562032761175,3.612269434045647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,34.0,0.895154,0.0,0.553455,12.956118,3.395504,6.19321991,90.0,116.76664345,90.0,243.2614271639935,12.0,4.555898013951849,2.443901899924513,2.431269047385484,4.907185040454901,2.4717976119620633,5.003598617690971,3.0723948518087316,0.0,3.901888372955108,6.696835839483077,3.5089378358095655,3.5473850450602953,3.612269434045647,5.387562032761176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,34.0,0.604846,0.5,0.446545,12.956118,3.395504,6.19321991,90.0,116.76664345,90.0,243.2614271639935,12.0,4.907185040454901,2.4312690473854834,2.4439018999245126,4.555898013951848,5.003598617690971,2.4717976119620633,6.696835839483075,3.901888372955108,0.0,3.0723948518087316,5.387562032761176,3.612269434045647,3.5473850450602953,3.508937835809565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,34.0,0.395154,0.5,0.553455,12.956118,3.395504,6.19321991,90.0,116.76664345,90.0,243.2614271639935,12.0,2.431269047385484,4.9071850404549,4.555898013951848,2.4439018999245126,5.00359861769097,2.4717976119620633,3.9018883729551086,6.696835839483077,3.0723948518087316,0.0,3.612269434045647,5.387562032761176,3.5089378358095655,3.5473850450602953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,34.0,0.13939,0.5,0.977861,12.956118,3.395504,6.19321991,90.0,116.76664345,90.0,243.2614271639935,12.0,2.7091766240226476,4.828742391543666,4.890835092933931,2.5735233636714216,2.5269866517851205,4.611981424806965,3.547385045060295,3.5089378358095655,5.387562032761176,3.612269434045647,0.0,3.7434207269801645,6.696835839483077,3.2348814725031763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
